Alpha	E root1	E root2	E root3	E root4	E root5		Alpha (0.9-1.3)	E root4 (0.9-1.3)		Smoothed alpha	Smoothed E root1	Smoothed E root2	Smoothed E root3	Smoothed E root4	Smoothed E root5		Start	0.2
0.200000	0.11215461	0.17192229	0.22051054	0.24561749	0.36352894		0.900000	2.37186040		0.206250	0.11215461	0.17192229	0.22051054	0.24561749	0.36352894		End	2.2
0.202002	0.11215461	0.17192229	0.22051054	0.24561749	0.36352894		0.900200	2.37225828		0.218750	0.12308227	0.18618821	0.24001174	0.26955459	0.39832149		N points	1000
0.204004	0.11215461	0.17192229	0.22051054	0.24561749	0.36352894		0.900400	2.37265616		0.231250	0.14052857	0.21029709	0.27186697	0.30820233	0.45425971		N points (2x)	2000
0.206006	0.11215461	0.17192229	0.22051054	0.24561749	0.36352894		0.900600	2.37305404		0.243750	0.15866575	0.23742515	0.30693714	0.34846497	0.51248700			
0.208008	0.11369148	0.17392865	0.22325321	0.24898402	0.36842219		0.900800	2.37345192		0.256250	0.17143338	0.25645075	0.33171942	0.37687530	0.55339411		Start (root4)	0.9
0.210010	0.11544166	0.17621349	0.22637652	0.25281779	0.37399457		0.901001	2.37384980		0.268750	0.19157782	0.28634430	0.37081512	0.42178287	0.61547705		End (root4)	1.3
0.212012	0.11719183	0.17849832	0.22949984	0.25665156	0.37956695		0.901201	2.37424768		0.281250	0.21237433	0.31712315	0.41119323	0.46819321	0.65876230		N points (root4)	2000
0.214014	0.11894201	0.18078315	0.23262315	0.26048533	0.38513933		0.901401	2.37464556		0.293750	0.22681160	0.32938649	0.43925867	0.49999593	0.62511316			
0.216016	0.12069219	0.18306798	0.23574647	0.26431910	0.39071171		0.901601	2.37504344		0.306250	0.24164504	0.34162091	0.46811491	0.53255645	0.60910102			
0.218018	0.12244236	0.18535281	0.23886978	0.26815287	0.39628409		0.901801	2.37544133		0.318750	0.25689017	0.35045612	0.49133302	0.56477307	0.62399311			
0.220020	0.12485484	0.18863771	0.24324828	0.27348127	0.40400491		0.902001	2.37583921		0.331250	0.28061449	0.36977303	0.53057641	0.59299349	0.63672605			
0.222022	0.12764905	0.19249899	0.24835022	0.27967109	0.41296398		0.902201	2.37623709		0.343750	0.30495075	0.40142210	0.57717173	0.60270977	0.67231477			
0.224024	0.13044325	0.19636027	0.25345216	0.28586092	0.42192305		0.902401	2.37663497		0.356250	0.32175470	0.42203122	0.59331363	0.61257206	0.70913472			
0.226026	0.13323745	0.20022156	0.25855410	0.29205075	0.43088213		0.902601	2.37703285		0.368750	0.34774685	0.45231910	0.58967421	0.65883012	0.76653929			
0.228028	0.13603165	0.20408284	0.26365604	0.29824058	0.43984120		0.902801	2.37743073		0.381250	0.37425259	0.48158040	0.58580460	0.70946224	0.82525366			
0.230030	0.13882586	0.20794412	0.26875798	0.30443041	0.44880027		0.903002	2.37782861		0.393750	0.39241315	0.49762072	0.58818103	0.74421149	0.86555948			
0.232032	0.14166328	0.21199429	0.27406105	0.31072127	0.45790256		0.903202	2.37822649		0.406250	0.41085063	0.50941336	0.59592131	0.77956175	0.90654581			
0.234034	0.14456813	0.21633913	0.27967790	0.31716974	0.46722825		0.903402	2.37862437		0.418750	0.43901905	0.51767175	0.61989377	0.83394909	0.96958319			
0.236036	0.14747299	0.22068396	0.28529474	0.32361821	0.47655394		0.903602	2.37902225		0.431250	0.46734767	0.52166260	0.65008538	0.88916422	1.03363450			
0.238038	0.15037784	0.22502879	0.29091158	0.33006668	0.48587963		0.903802	2.37942013		0.443750	0.48577444	0.52282819	0.67411960	0.87346299	1.07724384			
0.240040	0.15328269	0.22937363	0.29652843	0.33651515	0.49520533		0.904002	2.37981802		0.456250	0.50152923	0.52667195	0.69960839	0.85666518	1.12141492			
0.242042	0.15618754	0.23371846	0.30214527	0.34296362	0.50453102		0.904202	2.38021590		0.468750	0.51088102	0.53724766	0.72618016	0.89208656	1.16613872			
0.244044	0.15896609	0.23787270	0.30752011	0.34913328	0.51344928		0.904402	2.38061378		0.481250	0.51449603	0.56458419	0.76778708	0.94638433	1.23434922			
0.246046	0.16101095	0.24091984	0.31148924	0.35368348	0.52000097		0.904602	2.38101166		0.493750	0.51572724	0.59499492	0.81034289	1.00143971	1.30322514			
0.248048	0.16305582	0.24396698	0.31545837	0.35823369	0.52655266		0.904802	2.38140954		0.506250	0.51611219	0.61634935	0.83952701	1.03888124	1.34972872			
0.250050	0.16510069	0.24701413	0.31942751	0.36278389	0.53310435		0.905003	2.38180742		0.518750	0.51649213	0.63806730	0.86815311	1.07364112	1.39565621			
0.252052	0.16714555	0.25006127	0.32339664	0.36733410	0.53965604		0.905203	2.38220530		0.531250	0.51732150	0.67144099	0.91242719	1.12774666	1.46504520			
0.254054	0.16919042	0.25310841	0.32736577	0.37188430	0.54620773		0.905403	2.38260318		0.543750	0.51841679	0.70529463	0.95831376	1.18525007	1.53529106			
0.256056	0.17123529	0.25615555	0.33133491	0.37643450	0.55275942		0.905603	2.38300106		0.556250	0.51924232	0.72829374	0.98954202	1.22410064	1.58226058			
0.258058	0.17434717	0.26077469	0.33737440	0.38337094	0.56237408		0.905803	2.38339894		0.568750	0.51987864	0.75165364	1.02112105	1.26338236	1.62916832			
0.260060	0.17757350	0.26556245	0.34363598	0.39056335	0.57231729		0.906003	2.38379683		0.581250	0.52082956	0.78729258	1.06927320	1.32279021	1.69884419			
0.262062	0.18079984	0.27035020	0.34989755	0.39775575	0.58226050		0.906203	2.38419471		0.593750	0.52185277	0.82333034	1.11795556	1.38252419	1.76782757			
0.264064	0.18402618	0.27513796	0.35615912	0.40494815	0.59220372		0.906403	2.38483303		0.606250	0.52254226	0.84781049	1.15091488	1.42278796	1.81266318			
0.266066	0.18725251	0.27992572	0.36242070	0.41214056	0.60214693		0.906603	2.38554495		0.618750	0.52320538	0.87257778	1.18418400	1.46325789	1.85637016			
0.268068	0.19047885	0.28471347	0.36868227	0.41933296	0.61209014		0.906803	2.38625687		0.631250	0.52392423	0.91036848	1.23476616	1.52427736	1.91824383			
0.270070	0.19377405	0.28959472	0.37507928	0.42668407	0.62004821		0.907004	2.38696879		0.643750	0.52446762	0.94859083	1.28582299	1.58530638	1.97697568			
0.272072	0.19710482	0.29452427	0.38154624	0.43411715	0.62698079		0.907204	2.38768072		0.656250	0.52474319	0.97451430	1.32031367	1.62609229	2.01234895			
0.274074	0.20043559	0.29945381	0.38801320	0.44155024	0.63391336		0.907404	2.38839264		0.668750	0.52516207	1.01406498	1.37265524	1.68762052	2.05844859			
0.276076	0.20376637	0.30438336	0.39448017	0.44898333	0.64084593		0.907604	2.38910456		0.681250	0.52555479	1.05405153	1.42540255	1.74910520	2.09971709			
0.278078	0.20709714	0.30931291	0.40094713	0.45641641	0.64777850		0.907804	2.38981648		0.693750	0.52569671	1.08114329	1.46093944	1.79002678	2.12235567			
0.280080	0.21042791	0.31424245	0.40741409	0.46384950	0.65471108		0.908004	2.39052841		0.706250	0.52574200	1.10852757	1.49670171	1.83091779	2.14197190			
0.282082	0.21333537	0.31793948	0.41306145	0.47031021	0.65652239		0.908204	2.39124033		0.718750	0.52571301	1.15024556	1.55078906	1.89164330	2.16574671			
0.284084	0.21564764	0.31990358	0.41755641	0.47540373	0.65113314		0.908404	2.39195225		0.731250	0.52565790	1.19239541	1.60519083	1.95204573	2.18643218			
0.286086	0.21795992	0.32186768	0.42205138	0.48049726	0.64574389		0.908604	2.39266417		0.743750	0.52546366	1.22092909	1.64168195	1.99050088	2.19779293			
0.288088	0.22027219	0.32383177	0.42654635	0.48559079	0.64035464		0.908804	2.39337610		0.756250	0.52521180	1.24974714	1.67828746	2.02860796	2.20793396			
0.290090	0.22258447	0.32579587	0.43104131	0.49068432	0.63496539		0.909005	2.39408802		0.768750	0.52505415	1.27885025	1.71506046	2.06790125	2.21711559			
0.292092	0.22489674	0.32775997	0.43553628	0.49577785	0.62957613		0.909205	2.39479994		0.781250	0.52476885	1.32313555	1.77028763	2.12580465	2.22950377			
0.294094	0.22721993	0.32972327	0.44005302	0.50089224	0.62467239		0.909405	2.39551186		0.793750	0.52437290	1.36783017	1.82544826	2.18289125	2.24124701			
0.296096	0.22959565	0.33168274	0.44467463	0.50610714	0.62210788		0.909605	2.39622379		0.806250	0.52405213	1.39803777	1.86205074	2.22004033	2.24878123			
0.298098	0.23197138	0.33364221	0.44929625	0.51132203	0.61954337		0.909805	2.39693571		0.818750	0.52379491	1.42852536	1.89840816	2.24940142	2.26357441			
0.300100	0.23434711	0.33560167	0.45391787	0.51653693	0.61697886		0.910005	2.39764763		0.831250	0.52337924	1.47485769	1.95181155	2.26893298	2.30947147			
0.302102	0.23672283	0.33756114	0.45853949	0.52175183	0.61441436		0.910205	2.39835955		0.843750	0.52294342	1.52158333	2.00404515	2.28248747	2.36113503			
0.304104	0.23909856	0.33952061	0.46316111	0.52696673	0.61184985		0.910405	2.39907148		0.856250	0.52263092	1.55311847	2.03714344	2.29313453	2.39418152			
0.306106	0.24147429	0.34148007	0.46778273	0.53218163	0.60928534		0.910605	2.39978340		0.868750	0.52209746	1.60094033	2.08236807	2.31365333	2.44128717			
0.308108	0.24391121	0.34293425	0.47156625	0.53734541	0.61131471		0.910805	2.40049532		0.881250	0.52151281	1.64907576	2.12369994	2.33816944	2.48672168			
0.310110	0.24635287	0.34434930	0.47528487	0.54250523	0.61369983		0.911006	2.40120724		0.893750	0.52112646	1.68149610	2.14666908	2.35943283	2.51536714			
0.312112	0.24879453	0.34576435	0.47900348	0.54766505	0.61608495		0.911206	2.40191917		0.906250	0.52077114	1.71414632	2.16637535	2.38428796	2.54284939			
0.314114	0.25123619	0.34717940	0.48272210	0.55282487	0.61847006		0.911406	2.40263109		0.918750	0.52017910	1.76349802	2.18926523	2.42876087	2.58137303			
0.316116	0.25367786	0.34859445	0.48644071	0.55798469	0.62085518		0.911606	2.40334301		0.931250	0.51960164	1.81304373	2.20852248	2.47732151	2.61811343			
0.318118	0.25611952	0.35000950	0.49015933	0.56314450	0.62324030		0.911806	2.40405493		0.943750	0.51927821	1.84619470	2.21846559	2.51285539	2.64082959			
0.320120	0.25949058	0.35257344	0.49563447	0.56786630	0.62538876		0.912006	2.40476686		0.956250	0.51934910	1.87943997	2.22751730	2.55002984	2.66271261			
0.322122	0.26329027	0.35566724	0.50191970	0.57238609	0.62742807		0.912206	2.40547878		0.968750	0.52264591	1.92982321	2.24210681	2.60970584	2.70300442			
0.324124	0.26708996	0.35876104	0.50820493	0.57690588	0.62946738		0.912406	2.40619070		0.981250	0.52139951	1.97887722	2.25277884	2.66898894	2.73073533			
0.326126	0.27088965	0.36185484	0.51449015	0.58142566	0.63150669		0.912606	2.40690263		0.993750	0.51677552	2.01008359	2.25727401	2.70812538	2.73730398			
0.328128	0.27468935	0.36494863	0.52077538	0.58594545	0.63354600		0.912806	2.40761455		1.006250	0.51615064	2.04131326	2.26559106	2.74495534	2.75790765			
0.330130	0.27848904	0.36804243	0.52706061	0.59046524	0.63558531		0.913007	2.40832647		1.018750	0.51537842	2.07122834	2.27500611	2.76855225	2.79116121			
0.332132	0.28233191	0.37200652	0.53386467	0.59367918	0.63923757		0.913207	2.40903839		1.031250	0.51426123	2.11117684	2.29394003	2.78933178	2.85462175			
0.334134	0.28622961	0.37707544	0.54132738	0.59523534	0.64493746		0.913407	2.40975032		1.043750	0.51331170	2.14690302	2.31734672	2.80902198	2.91862161			
0.336136	0.29012731	0.38214436	0.54879010	0.59679150	0.65063736		0.913607	2.41046224		1.056250	0.51273427	2.16574136	2.33822366	2.82109041	2.96174173			
0.338138	0.29402501	0.38721328	0.55625281	0.59834766	0.65633725		0.913807	2.41117416		1.068750	0.51188221	2.18637633	2.37747557	2.83774984	3.02698184			
0.340140	0.29792271	0.39228221	0.56371553	0.59990382	0.66203715		0.914007	2.41188608		1.081250	0.51104593	2.20274134	2.42123649	2.85352720	3.09256292			
0.342142	0.30182041	0.39735113	0.57117824	0.60145998	0.66773704		0.914207	2.41259801		1.093750	0.51051083	2.21037241	2.45395400	2.86323993	3.13659778			
0.344144	0.30548060	0.40207194	0.57768071	0.60302074	0.67347576		0.914407	2.41330993		1.106250	0.50989487	2.21640720	2.48825540	2.87221786	3.18063888			
0.346146	0.30817192	0.40537270	0.58026600	0.60460029	0.67937285		0.914607	2.41402185		1.118750	0.50929762	2.22136749	2.52382265	2.88075320	3.22485609			
0.348148	0.31086325	0.40867346	0.58285129	0.60617984	0.68526994		0.914807	2.41473377		1.131250	0.50861237	2.22742159	2.57933771	2.89305496	3.29183115			
0.350150	0.31355457	0.41197422	0.58543658	0.60775938	0.69116703		0.915008	2.41544570		1.143750	0.50790348	2.23261795	2.63604700	2.90474480	3.35912940			
0.352152	0.31624589	0.41527498	0.58802187	0.60933893	0.69706412		0.915208	2.41615762		1.156250	0.50747194	2.23549723	2.67480004	2.91202736	3.40425632			
0.354154	0.31893722	0.41857574	0.59060716	0.61091847	0.70296121		0.915408	2.41686954		1.168750	0.50715608	2.23820632	2.71397224	2.91909932	3.44944763			
0.356156	0.32162854	0.42187649	0.59319244	0.61249802	0.70885829		0.915608	2.41758146		1.181250	0.50668923	2.24179075	2.77365427	2.92898532	3.51749492			
0.358158	0.32572247	0.42665474	0.59275806	0.61963348	0.71789768		0.915808	2.41829339		1.193750	0.50629858	2.24517614	2.83391227	2.93853664	3.58573896			
0.360160	0.32988538	0.43150565	0.59217517	0.62704218	0.72709160		0.916008	2.41900531		1.206250	0.50617569	2.24733606	2.87463129	2.94470862	3.63145301			
0.362162	0.33404828	0.43635657	0.59159228	0.63445087	0.73628553		0.916208	2.41971723		1.218750	0.50612583	2.25046578	2.92722683	2.96274983	3.70025374			
0.364164	0.33821119	0.44120748	0.59100939	0.64185957	0.74547945		0.916408	2.42042915		1.231250	0.50617739	2.25354297	2.96224769	2.99862721	3.76904178			
0.366166	0.34237410	0.44605839	0.59042650	0.64926827	0.75467338		0.916608	2.42114108		1.243750	0.50628464	2.25555244	2.96786361	3.04052031	3.81500994			
0.368168	0.34653701	0.45090930	0.58984361	0.65667697	0.76386730		0.916808	2.42185300		1.256250	0.50647803	2.25757201	2.97331130	3.08268570	3.86124815			
0.370170	0.35075826	0.45564358	0.58923457	0.66458262	0.77321004		0.917009	2.42256492		1.268750	0.50676648	2.25960795	2.97866499	3.12510627	3.90757968			
