#Number of input points = 25
#     alpha               Energy
#1.217543859649123 2.250163762701846
#1.221720969089390 2.251197159742641
#1.225898078529657 2.252225459005697
#1.230075187969925 2.253265370413015
#1.234252297410192 2.254026238052725
#1.238429406850460 2.254697110273047
#1.242606516290727 2.255368542499022
#1.246783625730994 2.256042561749336
#1.250960735171261 2.256717445027829
#1.255137844611529 2.257392346203180
#1.259314954051796 2.258071214945437
#1.263492063492063 2.258751561438912
#1.267669172932331 2.259433665104582
#1.271846282372598 2.260372500731378
#1.276023391812866 2.261403937920070
#1.280200501253133 2.262434409582882
#1.284377610693400 2.263491023298275
#1.288554720133668 2.264554918766914
#1.292731829573935 2.265625877980113
#1.296908939014202 2.266429046145718
#1.301086048454470 2.267157229348425
#1.305263157894737 2.267888090785263
#1.309440267335004 2.268891498023445
#1.313617376775271 2.269983283096360
#1.317794486215539 2.271075559063405
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.249975641960143    0.005174519689553    1.197929274946056    0.016917329536231     -1.726e-17      1.913e-17      2.576e-17      3.100e-03      1.237e-03     1
   2.251836354279033    0.001371799833922    1.226014561435874    0.005271288247341     -1.177e-14     -1.162e-15      1.183e-14      4.504e-04     -2.435e-04     2
   2.253652300272181    0.000775443769076    1.230707685926587    0.004267244140206     -1.169e-14     -3.189e-15      1.212e-14      2.442e-06     -6.609e-05     3
   2.258823689480182    0.002978647471258    1.267977084373223    0.016075831586842     -3.604e-15      1.582e-15      3.936e-15      3.206e-04     -3.566e-04     4
   2.259391754074854    0.000470989681881    1.268099652602359    0.002647891165579     -2.457e-15      1.524e-15      2.891e-15      3.318e-05     -1.118e-05     5
   2.260383783208157    0.001198848235344    1.270665065209098    0.003918551881923     -5.310e-15      2.583e-15      5.904e-15      4.434e-05     -6.561e-05     6
   2.264806805139435    0.006278762532036    1.283797269136558    0.021261483044295     -4.600e-15      1.164e-15      4.746e-15      5.159e-04     -2.302e-03     7
   2.265952551629018    0.000319564094348    1.294416927018924    0.000548602506687     -1.151e-15     -2.114e-14      2.117e-14      6.625e-05      7.969e-05     8
   2.267184613094320    0.000469799695367    1.301394064928925    0.003217733246614      1.105e-15     -7.813e-15      7.890e-15     -2.865e-05     -6.750e-05     9
   2.267852594580769    0.003491397353354    1.302723331969120    0.008426458436498     -1.705e-15      1.025e-14      1.040e-14     -1.097e-03     -7.302e-05    10
