alpha,root2,root3,root4,root5
0.2,0.16399338406365,0.20995029505663,0.23397242930209,0.34635266041789
0.25,0.24679180929039,0.31899264057563,0.36231230516915,0.5321678331007
0.3,0.33001780426835,0.45320021037073,0.51566440033229,0.59144509953628
0.35,0.4123523598481,0.59272425297915,0.62045390631183,0.69034969574574
0.4,0.51068496398514,0.6064403947825,0.76112359544563,0.885085376822
0.45,0.54071804163642,0.68999162633788,0.83834185016825,1.09789382067381
0.5,0.60619961787925,0.82636433137419,1.01890812874526,1.32463987868306
0.55,0.71722369111488,0.97489705823509,1.20277074793214,1.55614127187945
0.6,0.83642040328371,1.13529485169153,1.40022685200872,1.78853219455286
0.65,0.96310216063484,1.30399389040514,1.60228579387719,1.99658112718094
0.7,1.09733458868705,1.48004620904299,1.80578928011777,2.13979463223084
0.75,1.23899689799083,1.66157299868521,2.00199726146158,2.21349440566995
0.8,1.38797769931613,1.84615961296805,2.18995477880856,2.25741356108368
0.85,1.54404961927967,2.02486227791222,2.29444482436204,2.3648472358442
0.9,1.70668377862783,2.1652310023564,2.37653175547733,2.50803275157038
0.95,1.8744700421889,2.23226200490675,2.53328903152713,2.62214006433821
1,2.04210341843992,2.26847855432108,2.69995392160731,2.73834043727837
1.05,2.17951818993465,2.32962347783947,2.76651026238949,2.9461317181777
1.1,2.23469764352216,2.47632142076003,2.81438678885936,3.16505909623119
1.15,2.2536909409816,2.66316526011927,2.85264720866678,3.38859523853295
1.2,2.2653034210343,2.85035884331103,2.89689410299081,3.61608359318514
1.25,2.27542185389455,2.90378921754462,3.07923742814076,3.84659140359954
1.3,2.28586751327986,2.92965542948269,3.29323958153959,4.0795561804665
1.35,2.29794511768153,2.95400925688015,3.51509579582407,4.31526789780821
1.4,2.31082815950612,2.97815969959245,3.74081711276066,4.55160737419153
1.45,2.3241433785259,2.99842569021242,3.96727269914595,4.78385705379549
1.5,2.33981279542588,3.02085186255248,4.19896922289171,5.01431154939035
1.55,2.3569407470641,3.04342472384103,4.43231825639888,5.23467642442227
1.6,2.37507787037829,3.06594293110874,4.66531328492429,5.43102106052999
1.65,2.39397809613465,3.08820514613404,4.89499264381839,5.58507841235121
1.7,2.41329012162682,3.109915256336,5.11542345259239,5.70137438597253
1.75,2.43273732030882,3.13111951918208,5.31634296362393,5.81049775533804
1.8,2.45203497507433,3.15146712325012,5.4806252229557,5.9427653632006
1.85,2.4709627338404,3.17083388007201,5.59752223564442,6.11474395577777
1.9,2.489740837798,3.18960944912326,5.6766623443311,6.32011028142948
2,2.5243654531173,3.22287293082613,5.77545681796371,6.77596307395524
2.05,2.53983410207564,3.23729649558357,5.80983919284641,7.01145481906369
2.1,2.55484220111602,3.2510623399529,5.83922755663985,7.24947135162335
2.15,2.5685014225703,3.26326581718407,5.86419468270651,7.4871469010205
2.25,2.59311197439428,3.28498388845553,5.90550389351068,7.95832761484223
2.3,2.60383371994599,3.29423050550574,5.92242391892722,8.18829375580396
2.35,2.61348359941556,3.30245435899216,5.93734247205698,8.32080937718575
2.45,2.62979612435262,3.3160396078112,5.96198675852149,8.34586055569001
2.5,2.63657506729657,3.32159571253828,5.97207376897305,8.35486967017476
2.55,2.64252772229583,3.32639465535039,5.98095211626638,8.36294635645318
2.6,2.64774602652699,3.33047797321687,5.98872998111044,8.36943117701087
