alpha,root3,root4
0.20,0.20995029505662999,0.23397242930209
0.25,0.31899264057562998,0.36231230516914997
0.30,0.45320021037072999,0.51566440033229
0.35,0.59272425297914999,0.62045390631182995
0.40,0.6064403947825,0.76112359544563002
0.45,0.68999162633788003,0.83834185016825002
0.50,0.82636433137418996,1.0189081287452599
0.55,0.97489705823508999,1.2027707479321399
0.60,1.13529485169153,1.40022685200872
0.65,1.30399389040514,1.6022857938771899
0.70,1.48004620904299,1.80578928011777
0.75,1.6615729986852099,2.0019972614615802
0.80,1.84615961296805,2.18995477880856
0.85,2.0248622779122201,2.2944448243620399
0.90,2.1652310023563999,2.37653175547733
0.95,2.2322620049067501,2.5332890315271301
1.00,2.2684785543210801,2.6999539216073098
1.05,2.32962347783947,2.7665102623894899
1.10,2.4763214207600299,2.8143867888593599
1.15,2.6631652601192699,2.85264720866678
1.20,2.8503588433110298,2.8968941029908102
1.25,2.9037892175446198,3.0792374281407602
1.30,2.9296554294826902,3.2932395815395901
1.35,2.9540092568801501,3.5150957958240698
1.40,2.97815969959245,3.7408171127606602
1.45,2.9984256902124198,3.9672726991459499
1.50,3.0208518625524801,4.1989692228917104
1.55,3.0434247238410301,4.4323182563988803
1.60,3.0659429311087401,4.6653132849242898
1.65,3.0882051461340398,4.8949926438183899
1.70,3.109915256336,5.1154234525923901
1.75,3.13111951918208,5.3163429636239297
1.80,3.1514671232501201,5.4806252229557
1.85,3.1708338800720099,5.5975222356444201
1.90,3.1896094491232598,5.6766623443311
2.00,3.2228729308261301,5.7754568179637102
2.05,3.2372964955835699,5.8098391928464101
2.10,3.2510623399529002,5.8392275566398499
2.15,3.2632658171840698,5.8641946827065103
2.25,3.28498388845553,5.9055038935106801
2.30,3.2942305055057401,5.9224239189272199
2.35,3.30245435899216,5.9373424720569803
2.45,3.3160396078112,5.9619867585214896
2.50,3.3215957125382798,5.9720737689730496
2.55,3.32639465535039,5.9809521162663799
2.60,3.3304779732168699,5.9887299811104402
