#Number of input points = 22
#     alpha               Energy
#0.246969696969697 0.242439243522014
#0.270454545454546 0.292386581202181
#0.293939393939394 0.329163159920655
#0.317424242424242 0.351568219841702
#0.340909090909091 0.397689194724561
#0.364393939393939 0.453924484520759
#0.387878787878788 0.490489276351943
#0.411363636363636 0.514115568234331
#0.434848484848485 0.521426400993090
#0.458333333333333 0.529861296000000
#0.481818181818182 0.563916971000000
#0.505303030303030 0.614272001077891
#0.528787878787879 0.661164646400050
#0.552272727272727 0.720902148185072
#0.575757575757576 0.765448417261304
#0.599242424242424 0.834036575925070
#0.622727272727273 0.879607503565823
#0.646212121212121 0.954111598670543
#0.669696969696970 1.018680984866344
#0.693181818181818 1.079884188743037
#0.716666666666667 1.139363379866042
#0.740151515151515 1.212658470602489
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   0.361244085494376    0.231348067607602    0.282533383265102    0.842554525728818      5.130e-17     -5.458e-17      7.491e-17      2.478e-01     -1.436e-01     1
   0.349940694836623    0.006923306482064    0.317416736083360    0.038693589310654     -1.128e-15      1.432e-15      1.823e-15     -2.594e-02     -1.352e-02     2
   0.450367096978359    0.062174049177723    0.346446242044000    0.100133714386932     -8.892e-16      1.291e-16      8.985e-16      2.546e-02     -3.004e-03     3
   0.521471600875669    0.000361136353460    0.435584020990398    0.015626839811919     -4.390e-17      5.906e-16      5.922e-16     -1.002e-05     -2.129e-04     4
   0.562857153754003    0.196714351827839    0.464584565811162    0.186578774606009      7.172e-17      8.471e-17      1.110e-16     -8.735e-02     -1.019e-01     5
   0.645205488004127    0.017907424376265    0.520148315208258    0.007534112478979     -4.253e-16      1.197e-14      1.198e-14     -4.809e-04      1.017e-02     6
   0.757826772069223    0.024783363299828    0.569060453279909    0.008825716552149      7.890e-16     -3.269e-14      3.270e-14      8.023e-03      1.409e-02     7
   0.878150423274238    0.027616250801026    0.617351499617927    0.008336981529993      1.372e-16      2.425e-14      2.425e-14      1.526e-02      1.273e-03     8
   1.141920412986447    0.086441502780907    0.727768650883134    0.061229320330981     -2.120e-15      1.864e-15      2.823e-15     -2.273e-02     -2.423e-02     9
   0.913831941029855    1.634571941587945    0.812379005799774    0.140529185781618     -2.546e-15     -2.156e-14      2.171e-14     -4.391e-01      1.353e+00    10
