#Number of input points = 22
#     alpha               Energy
#1.221720969089390 2.251197159742641
#1.225898078529657 2.252225459005697
#1.230075187969925 2.253265370413015
#1.234252297410192 2.254026238052725
#1.238429406850460 2.254697110273047
#1.242606516290727 2.255368542499022
#1.246783625730994 2.256042561749336
#1.250960735171261 2.256717445027829
#1.255137844611529 2.257392346203180
#1.259314954051796 2.258071214945437
#1.263492063492063 2.258751561438912
#1.267669172932331 2.259433665104582
#1.271846282372598 2.260372500731378
#1.276023391812866 2.261403937920070
#1.280200501253133 2.262434409582882
#1.284377610693400 2.263491023298275
#1.288554720133668 2.264554918766914
#1.292731829573935 2.265625877980113
#1.296908939014202 2.266429046145718
#1.301086048454470 2.267157229348425
#1.305263157894737 2.267888090785263
#1.309440267335004 2.268891498023445
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.251245321980921   -0.001481185209888    1.224419399606119   -0.006251359659875      9.893e-15     -1.952e-15      1.008e-14     -1.712e-04      5.941e-05     1
   2.253676561060377   -0.000892005883987    1.230598801065433   -0.005004586336939      7.875e-15     -2.261e-15      8.193e-15      2.534e-06     -4.835e-05     2
   2.255575565966767   -0.000022830906159    1.243892734808739   -0.000056807861066     -1.652e-17     -4.083e-13      4.083e-13     -6.061e-07     -1.142e-05     3
   2.258217309942497   -0.003064461127973    1.263703676130170   -0.018023569992796     -1.003e-15     -1.026e-15      1.435e-15     -1.682e-04      2.538e-04     4
   2.259353994135646   -0.000476404257866    1.267862899394473   -0.002719518902043     -8.626e-15     -6.147e-15      1.059e-14     -2.464e-05      3.379e-06     5
   2.260340250754710   -0.001290123599286    1.270424643017586   -0.004162243568237     -2.525e-14     -1.364e-14      2.870e-14     -4.555e-05     -7.488e-05     6
   2.266293839319298   -0.010106031231063    1.282919754290770   -0.030975674390546     -7.552e-16     -7.067e-16      1.034e-15      9.522e-04     -7.137e-03     7
   2.265803335351270   -0.000259787465340    1.293800478329181   -0.000446202390211      2.080e-15     -4.908e-14      4.912e-14     -8.301e-05     -1.309e-04     8
   2.267240768815462   -0.000598339362792    1.301899286192955   -0.003921605276237     -1.311e-15     -5.019e-15      5.187e-15     -9.636e-05      3.235e-04     9
   2.268857214264354   -0.004266886285500    1.304690604944791   -0.010088254991821     -1.629e-15     -7.277e-15      7.457e-15      7.811e-04     -2.069e-03    10
