#Number of input points = 23
#     alpha               Energy
#0.982811848143513 2.253340500774830
#0.983604505632040 2.253625551497632
#0.984397163120567 2.253910602221005
#0.985189820609095 2.254195652944601
#0.985982478097622 2.254480703511844
#0.986775135586149 2.254765754031462
#0.987567793074677 2.255050804753640
#0.988360450563204 2.255335854694567
#0.989153108051731 2.255620905370673
#0.989945765540259 2.255905955973892
#0.990738423028786 2.256191006368483
#0.991531080517313 2.256476057050151
#0.992323738005841 2.256761107734019
#0.993116395494368 2.257046158420263
#0.993909052982895 2.257379416192026
#0.994701710471423 2.257907244970340
#0.995494367959950 2.258434651374480
#0.996287025448477 2.258962056809424
#0.997079682937004 2.259489462193907
#0.997872340425532 2.260016868599786
#0.998664997914059 2.260544273428648
#0.999457655402586 2.261071678775471
#1.000250312891114 2.261599085063539
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.249147592555116   -0.000535122332350    0.970953154427100   -0.000787508341222     -2.575e-16     -4.586e-14      4.586e-14      7.096e-05     -2.603e-04     1
   2.255217569177914   -0.000000411666519    0.988031525763000   -0.000000579306541      3.991e-18     -1.330e-11      1.330e-11      8.409e-10     -2.058e-07     2
   2.257215029465990   -0.000197351412681    0.993715783189747   -0.000594945442802     -1.205e-13     -4.372e-14      1.281e-13     -3.279e-05     -1.477e-05     3
   2.257189125387452   -0.000671537759571    0.993780536035462   -0.001930453305931     -3.740e-14     -8.402e-15      3.833e-14     -8.536e-05     -3.597e-06     4
   2.257179452731894   -0.001588811653696    0.994053423146844   -0.004518080929617      7.290e-15      9.334e-16      7.349e-15     -1.855e-04      1.096e-05     5
   2.257705711686845   -0.000515130110550    0.994228124791776   -0.000814629797383      9.953e-14      1.525e-14      1.007e-13      1.082e-04     -9.754e-05     6
   2.258297108886446   -0.001496316412299    0.994973574070342   -0.002368222514349     -7.668e-14     -4.072e-16      7.668e-14      3.211e-04     -4.553e-04     7
   2.257217855747668   -0.004032408657264    0.995564417050092   -0.011597162021802     -3.889e-16      3.698e-17      3.907e-16     -6.527e-04      1.073e-04     8
   2.259739320553369   -0.003176320127892    0.996815587679888   -0.005208366435460     -3.982e-14      5.570e-15      4.021e-14      1.013e-03     -1.250e-03     9
   2.267123332549716   -0.005883258649190    1.005869857423467   -0.012398373144035      7.166e-15     -3.647e-17      7.166e-15      5.378e-03     -1.688e-03    10
