#Number of input points = 25
#     alpha               Energy
#1.128547579298831 2.890395395483067
#1.130676126878130 2.892489508316591
#1.132804674457429 2.894509271353234
#1.134933222036728 2.896499461731696
#1.137061769616027 2.898490052601723
#1.139190317195325 2.900480643372467
#1.141318864774624 2.902471234330874
#1.143447412353923 2.904480014362977
#1.145575959933222 2.905808613055251
#1.147704507512521 2.907048713855193
#1.149833055091820 2.908288815758581
#1.151961602671119 2.909528916497310
#1.154090150250418 2.910769018293926
#1.156218697829716 2.912006120208733
#1.158347245409015 2.913213888053571
#1.160475792988314 2.914418129115325
#1.162604340567613 2.915622370170348
#1.164732888146912 2.916826610714560
#1.166861435726210 2.918030152656971
#1.168989983305509 2.919294647495033
#1.171118530884808 2.920972543583124
#1.173247078464107 2.922655968770930
#1.175375626043406 2.924339393954546
#1.177504173622705 2.926022818511160
#1.179632721202003 2.927706243166894
#
#
#
#*******************#
#
#
#        Real                 Imag                Alpha                Theta             Real(der)      Imag(der)       Abs(der)      Real(err)      Imag(err)   Number
   2.888875645865218   -0.021898208394581    1.106250613337609   -0.021919379752581     -9.922e-16     -3.690e-15      3.822e-15      5.463e-03     -1.009e-03     1
   2.898018130341693   -0.008925343367424    1.139058846367932   -0.009216466538554      1.155e-14     -4.136e-15      1.227e-14     -2.673e-04     -1.724e-04     2
   2.903097704992327   -0.002015900019555    1.142526840503501   -0.001917392137364      1.637e-13     -6.089e-14      1.746e-13      5.019e-05     -3.212e-05     3
   2.904941046407173   -0.000766541167618    1.143779899238372   -0.001305898155269     -9.712e-14      5.244e-14      1.104e-13      2.101e-05      1.417e-05     4
   2.905935036816599   -0.003784640912051    1.144666453418618   -0.006389583285437      6.445e-15     -3.617e-15      7.390e-15      1.483e-04     -4.269e-05     5
   2.912298325060384   -0.000089198141683    1.156738845208526   -0.000067217762741     -5.984e-16      5.383e-13      5.383e-13     -1.168e-05     -4.339e-05     6
   2.915480406392474   -0.003904822328915    1.163172979186271   -0.007161778019907     -1.984e-14     -3.399e-14      3.935e-14     -4.801e-04      4.957e-04     7
   2.919572987141854   -0.012366943337491    1.166532750263225   -0.012375406320512     -9.653e-15     -1.499e-14      1.783e-14     -1.366e-03     -6.252e-03     8
   2.917769131929489   -0.000794621377079    1.166701750563090   -0.001575235862608      3.859e-14      7.225e-14      8.191e-14     -1.935e-04      2.456e-04     9
   2.918555508243684   -0.002967081012620    1.167459092213026   -0.002941621026843     -9.522e-14     -1.423e-13      1.712e-13      9.949e-05     -9.006e-04    10
   2.918273324696749   -0.000385723841621    1.167478399959787   -0.000269870585977     -3.120e-14     -2.354e-13      2.374e-13     -1.004e-04     -2.101e-04    11
